,I1L,I1R,I2L,I2R,I3,I4,I5,I6,M1,M2L,M2R,M3L,M3R,M4,M5,MCL,MCR,MI,NSML,NSMR
I1L,0.0,0.0,13.0,0.0,2.5,0.0,4.5,0.0,0.0,3.0,0.0,11.0,1.5,0.0,0.0,2.0,3.0,2.0,5.5,0.0
I1R,0.0,0.0,1.0,8.0,7.0,0.0,2.0,0.0,3.0,0.5,3.5,0.5,6.0,1.0,0.0,4.0,8.5,1.0,1.0,3.5
I2L,1.5,0.0,0.0,4.0,0.0,15.5,2.0,1.0,1.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,25.0
I2R,0.0,1.0,3.0,0.0,0.0,15.5,4.0,0.0,2.5,0.0,1.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,32.5,8.5
I3,0.5,0.5,0.0,0.0,0.0,0.0,2.5,0.0,1.5,1.5,0.5,2.0,3.0,2.0,0.0,2.5,2.5,1.5,0.0,1.5
I4,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,6.5,23.5,0.0,0.0,0.0,0.0,1.0,8.5,15.5
I5,1.5,2.0,3.5,3.0,10.5,7.0,0.0,0.0,3.0,5.0,1.0,12.5,2.0,26.5,2.0,0.0,3.5,7.5,5.0,20.5
I6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,21.0,4.0
M1,0.0,1.0,3.0,3.5,8.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.5,5.0,0.0
M2L,0.0,0.0,1.0,0.0,1.5,8.0,2.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M2R,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0
M3L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0
M3R,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
M4,0.0,0.0,0.5,0.0,0.0,5.5,1.5,5.0,0.0,2.0,0.0,1.0,0.0,31.0,0.0,0.5,0.0,0.0,0.0,0.0
M5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0.5,0.0,0.0,0.0,1.5,1.0,0.0,0.0,7.0,3.5,2.0,5.5,2.0,0.0,0.0,2.5,0.0,0.0,2.0,1.5
NSML,0.0,0.0,0.5,0.5,0.0,2.0,0.5,0.0,0.0,0.0,0.0,20.5,0.5,12.5,0.0,0.0,0.0,0.0,0.5,7.0
NSMR,0.0,0.0,1.0,2.0,0.0,2.5,0.0,2.0,0.0,0.0,0.0,1.0,22.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0
